date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number
11/1/2026,Final,MD,KIM Won .. / SEO Seu.. (1) Rank 1 Elo 2472 (+8),21-15 / 12-21 / 21-18,Aaron CH.. / SOH Wo.. (2) Rank 2 Elo 2152 (-8),66,https://badmintonranks.com/tournament?id=14659,1
11/1/2026,Final,MS,Kunlavut VITIDSARN (2) Rank 2 Elo 2464 (+15),23-21 / 6-1 Ret.,SHI Yu Qi (1) Rank 1 Elo 2591 (-15),36,https://badmintonranks.com/tournament?id=14659,1
11/1/2026,Final,XD,FENG Ya.. / HUANG .. (1) Rank 1 Elo 2518 (+15),21-19 / 21-19,JIANG Zh.. / WEI Ya X.. (2) Rank 2 Elo 2340 (-14),45,https://badmintonranks.com/tournament?id=14659,1
11/1/2026,Final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2378 (+25),21-18 / 21-12,BAEK Ha.. / LEE So H.. (6) Rank 6 Elo 2347 (-25),67,https://badmintonranks.com/tournament?id=14659,1
11/1/2026,Final,WS,AN Se Young (1) Rank 1 Elo 2819 (+11),21-15 / 24-22,WANG Zhi Yi (2) Rank 2 Elo 2580 (-11),56,https://badmintonranks.com/tournament?id=14659,1
10/1/2026,Semi final,MD,Aaron CH.. / SOH Wo.. (2) Rank 2 Elo 2121 (+31),23-21 / 21-18,Fajar ALF.. / Muhamm.. (6) Rank 6 Elo 2166 (-31),51,https://badmintonranks.com/tournament?id=14659,1
10/1/2026,Semi final,WS,AN Se Young (1) Rank 1 Elo 2819 (+0),W.O.,CHEN Yu Fei (4) Rank 4 Elo 2574 (-1),0,https://badmintonranks.com/tournament?id=14659,1
10/1/2026,Semi final,MS,SHI Yu Qi (1) Rank 1 Elo 2576 (+15),21-13 / 21-14,Anders ANTONSEN (3) Rank 3 Elo 2407 (-15),46,https://badmintonranks.com/tournament?id=14659,1
10/1/2026,Semi final,MD,KIM Won .. / SEO Seu.. (1) Rank 1 Elo 2466 (+6),8-21 / 21-11 / 21-18,Ben LANE / Sean VEN.. Rank 16 Elo 2113 (-6),58,https://badmintonranks.com/tournament?id=14659,1
10/1/2026,Semi final,MS,Kunlavut VITIDSARN (2) Rank 2 Elo 2443 (+21),21-16 / 21-16,Jonatan CHRISTIE (4) Rank 4 Elo 2370 (-21),63,https://badmintonranks.com/tournament?id=14659,1
10/1/2026,Semi final,XD,JIANG Zh.. / WEI Ya X.. (2) Rank 2 Elo 2334 (+6),21-15 / 21-14,Jesper T.. / Amalie M.. Rank 11 Elo 1996 (-8),37,https://badmintonranks.com/tournament?id=14659,1
