date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
31/8/2025,Final,MD,KIM Won .. / SEO Seu.. (1) Rank 1 Elo 2314 (+11),21-17 / 21-12,CHEN Bo.. / LIU Yi (11) Rank 11 Elo 2071 (-12),40,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,KIM Won Ho / SEO Seung Jae (1),1.0,2314,CHEN Bo Yang / LIU Yi (11),11.0,2071
31/8/2025,Final,MS,SHI Yu Qi (1) Rank 1 Elo 2567 (+19),19-21 / 21-10 / 21-18,Kunlavut VITIDSARN (3) Rank 3 Elo 2456 (-19),77,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,SHI Yu Qi (1),1.0,2567,Kunlavut VITIDSARN (3),3.0,2456
31/8/2025,Final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2475 (+14),21-14 / 20-22 / 21-17,Pearly TA.. / THINAAH.. (2) Rank 2 Elo 2280 (-14),83,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,LIU Sheng Shu / TAN Ning (1),1.0,2475,Pearly TAN / THINAAH Muralitharan (2),2.0,2280
31/8/2025,Final,WS,Akane YAMAGUCHI (5) Rank 5 Elo 2459 (+45),21-9 / 21-13,CHEN Yu Fei (4) Rank 4 Elo 2678 (-44),37,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,Akane YAMAGUCHI (5),5.0,2459,CHEN Yu Fei (4),4.0,2678
31/8/2025,Final,XD,CHEN Ta.. / TOH Ee .. (4) Rank 4 Elo 2160 (+43),21-15 / 21-14,JIANG Zh.. / WEI Ya X.. (2) Rank 2 Elo 2351 (-43),40,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,CHEN Tang Jie / TOH Ee Wei (4),4.0,2160,JIANG Zhen Bang / WEI Ya Xin (2),2.0,2351
30/8/2025,Semi final,MD,CHEN Bo.. / LIU Yi (11) Rank 11 Elo 2028 (+43),21-19 / 18-21 / 21-12,Satwiksai.. / Chirag S.. (9) Rank 9 Elo 2200 (-41),67,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,CHEN Bo Yang / LIU Yi (11),11.0,2028,Satwiksairaj RANKIREDDY / Chirag SHETTY (9),9.0,2200
30/8/2025,Semi final,MS,Kunlavut VITIDSARN (3) Rank 3 Elo 2432 (+24),21-17 / 21-15,Anders ANTONSEN (2) Rank 2 Elo 2383 (-24),47,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,Kunlavut VITIDSARN (3),3.0,2432,Anders ANTONSEN (2),2.0,2383
30/8/2025,Semi final,MD,KIM Won .. / SEO Seu.. (1) Rank 1 Elo 2302 (+12),21-12 / 21-3,Kim AST.. / Anders S.. (5) Rank 5 Elo 2079 (-12),27,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,KIM Won Ho / SEO Seung Jae (1),1.0,2302,Kim ASTRUP / Anders Skaarup RASMUSSEN (5),5.0,2079
30/8/2025,Semi final,MS,SHI Yu Qi (1) Rank 1 Elo 2563 (+4),13-21 / 22-20 / 21-16,Victor LAI Rank 51 Elo 2082 (-3),80,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,SHI Yu Qi (1),1.0,2563,Victor LAI,51.0,2082
30/8/2025,Semi final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2468 (+7),21-15 / 21-4,Rin IWAN.. / Kie NAK.. (9) Rank 9 Elo 2124 (-7),41,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,LIU Sheng Shu / TAN Ning (1),1.0,2468,Rin IWANAGA / Kie NAKANISHI (9),9.0,2124
30/8/2025,Semi final,WS,CHEN Yu Fei (4) Rank 4 Elo 2640 (+38),21-15 / 21-17,AN Se Young (1) Rank 1 Elo 2770 (-37),58,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,CHEN Yu Fei (4),4.0,2640,AN Se Young (1),1.0,2770
30/8/2025,Semi final,XD,CHEN Ta.. / TOH Ee .. (4) Rank 4 Elo 2135 (+25),21-18 / 21-16,Thom GI.. / Delphine .. (8) Rank 8 Elo 2088 (-25),53,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,CHEN Tang Jie / TOH Ee Wei (4),4.0,2135,Thom GICQUEL / Delphine DELRUE (8),8.0,2088
30/8/2025,Semi final,WD,Pearly TA.. / THINAAH.. (2) Rank 2 Elo 2250 (+30),14-21 / 21-13 / 21-12,Nami MA.. / Chiharu .. (3) Rank 3 Elo 2281 (-30),68,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,Pearly TAN / THINAAH Muralitharan (2),2.0,2250,Nami MATSUYAMA / Chiharu SHIDA (3),3.0,2281
30/8/2025,Semi final,WS,Akane YAMAGUCHI (5) Rank 5 Elo 2446 (+13),21-17 / 14-21 / 21-6,Putri Kusuma WARDA.. (9) Rank 9 Elo 2244 (-13),58,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,Akane YAMAGUCHI (5),5.0,2446,Putri Kusuma WARDANI (9),9.0,2244
30/8/2025,Semi final,XD,JIANG Zh.. / WEI Ya X.. (2) Rank 2 Elo 2337 (+14),11-21 / 23-21 / 21-18,GUO Xin .. / CHEN Fa.. (7) Rank 7 Elo 2139 (-14),68,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,JIANG Zhen Bang / WEI Ya Xin (2),2.0,2337,GUO Xin Wa / CHEN Fang Hui (7),7.0,2139
29/8/2025,Quarter final,MD,Satwiksai.. / Chirag S.. (9) Rank 9 Elo 2169 (+31),21-12 / 21-19,Aaron CH.. / SOH Wo.. (2) Rank 2 Elo 2215 (-32),43,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,Satwiksairaj RANKIREDDY / Chirag SHETTY (9),9.0,2169,Aaron CHIA / SOH Wooi Yik (2),2.0,2215
29/8/2025,Quarter final,MD,CHEN Bo.. / LIU Yi (11) Rank 11 Elo 2006 (+22),21-15 / 21-14,LEE Jhe-.. / YANG Po.. (16) Rank 18 Elo 1926 (-23),35,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,CHEN Bo Yang / LIU Yi (11),11.0,2006,LEE Jhe-Huei / YANG Po Hsuan (16),18.0,1926
29/8/2025,Quarter final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2455 (+13),19-21 / 21-16 / 21-9,JIA Yi Fan / ZHANG .. (6) Rank 6 Elo 2257 (-14),73,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,LIU Sheng Shu / TAN Ning (1),1.0,2455,JIA Yi Fan / ZHANG Shu Xian (6),6.0,2257
29/8/2025,Quarter final,MD,Kim AST.. / Anders S.. (5) Rank 5 Elo 2045 (+34),16-21 / 21-19 / 21-17,Takuro H.. / Yugo KO.. (13) Rank 13 Elo 2119 (-34),70,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,Kim ASTRUP / Anders Skaarup RASMUSSEN (5),5.0,2045,Takuro HOKI / Yugo KOBAYASHI (13),13.0,2119
29/8/2025,Quarter final,WS,CHEN Yu Fei (4) Rank 4 Elo 2634 (+6),22-20 / 21-14,Pornpawee CHOCHU.. (6) Rank 6 Elo 2277 (-6),54,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,CHEN Yu Fei (4),4.0,2634,Pornpawee CHOCHUWONG (6),6.0,2277
29/8/2025,Quarter final,WD,Rin IWAN.. / Kie NAK.. (9) Rank 9 Elo 2103 (+21),21-15 / 21-16,Febriana .. / Amallia C.. (10) Rank 10 Elo 2005 (-21),49,https://badmintonranks.com/tournament?id=14522,2,BWF World Championships 2025,Rin IWANAGA / Kie NAKANISHI (9),9.0,2103,Febriana Dwipuji KUSUMA / Amallia Cahaya PRATIWI (10),10.0,2005
29/8/2025,Quarter final,MD,KIM Won .. / SEO Seu.. (1) Rank 1 Elo 2284 (+18),23-21 / 21-23 / 21-15,MAN Wei.. / TEE Kai .. (7) Rank 7 Elo 2151 (-18),69,https://badmintonranks.com/tournament?id=14522,2,BWF World Championships 2025,KIM Won Ho / SEO Seung Jae (1),1.0,2284,MAN Wei Chong / TEE Kai Wun (7),7.0,2151
29/8/2025,Quarter final,MS,Kunlavut VITIDSARN (3) Rank 3 Elo 2417 (+15),21-14 / 18-21 / 21-8,Jonatan CHRISTIE (5) Rank 5 Elo 2259 (-16),73,https://badmintonranks.com/tournament?id=14522,2,BWF World Championships 2025,Kunlavut VITIDSARN (3),3.0,2417,Jonatan CHRISTIE (5),5.0,2259
29/8/2025,Quarter final,WS,AN Se Young (1) Rank 1 Elo 2768 (+2),21-10 / 21-6,SIM Yu Jin (12) Rank 12 Elo 2258 (-3),30,https://badmintonranks.com/tournament?id=14522,2,BWF World Championships 2025,AN Se Young (1),1.0,2768,SIM Yu Jin (12),12.0,2258
29/8/2025,Quarter final,MS,Anders ANTONSEN (2) Rank 2 Elo 2361 (+22),21-17 / 23-21,CHOU Tien Chen (6) Rank 6 Elo 2282 (-21),61,https://badmintonranks.com/tournament?id=14522,2,BWF World Championships 2025,Anders ANTONSEN (2),2.0,2361,CHOU Tien Chen (6),6.0,2282
29/8/2025,Quarter final,WS,Putri Kusuma WARDA.. (9) Rank 9 Elo 2225 (+19),21-14 / 13-21 / 21-16,PUSARLA V. Sindhu (15) Rank 15 Elo 2114 (-19),64,https://badmintonranks.com/tournament?id=14522,2,BWF World Championships 2025,Putri Kusuma WARDANI (9),9.0,2225,PUSARLA V. Sindhu (15),15.0,2114
29/8/2025,Quarter final,WD,Pearly TA.. / THINAAH.. (2) Rank 2 Elo 2237 (+13),21-15 / 21-10,Gabriela .. / Stefani ST.. Rank 19 Elo 2034 (-13),32,https://badmintonranks.com/tournament?id=14522,2,BWF World Championships 2025,Pearly TAN / THINAAH Muralitharan (2),2.0,2237,Gabriela STOEVA / Stefani STOEVA,19.0,2034
29/8/2025,Quarter final,XD,Thom GI.. / Delphine .. (8) Rank 8 Elo 2065 (+23),21-19 / 21-18,CHENG .. / ZHANG .. (12) Rank 12 Elo 2003 (-23),51,https://badmintonranks.com/tournament?id=14522,2,BWF World Championships 2025,Thom GICQUEL / Delphine DELRUE (8),8.0,2065,CHENG Chi Ya / ZHANG Shu Xian (12),12.0,2003
29/8/2025,Quarter final,XD,GUO Xin .. / CHEN Fa.. (7) Rank 7 Elo 2113 (+26),21-14 / 21-9,Hiroki MI.. / Natsu SA.. (9) Rank 9 Elo 2086 (-26),32,https://badmintonranks.com/tournament?id=14522,2,BWF World Championships 2025,GUO Xin Wa / CHEN Fang Hui (7),7.0,2113,Hiroki MIDORIKAWA / Natsu SAITO (9),9.0,2086
29/8/2025,Quarter final,MS,SHI Yu Qi (1) Rank 1 Elo 2554 (+9),21-15 / 7-21 / 21-10,WENG Hong Yang (16) Rank 16 Elo 2278 (-10),62,https://badmintonranks.com/tournament?id=14522,2,BWF World Championships 2025,SHI Yu Qi (1),1.0,2554,WENG Hong Yang (16),16.0,2278
29/8/2025,Quarter final,WS,Akane YAMAGUCHI (5) Rank 5 Elo 2421 (+25),21-5 / 21-19,HAN Yue (3) Rank 3 Elo 2393 (-25),34,https://badmintonranks.com/tournament?id=14522,2,BWF World Championships 2025,Akane YAMAGUCHI (5),5.0,2421,HAN Yue (3),3.0,2393
29/8/2025,Quarter final,XD,JIANG Zh.. / WEI Ya X.. (2) Rank 2 Elo 2333 (+4),25-23 / 21-15,HOO Pan.. / CHENG .. (15) Rank 16 Elo 1894 (-4),41,https://badmintonranks.com/tournament?id=14522,2,BWF World Championships 2025,JIANG Zhen Bang / WEI Ya Xin (2),2.0,2333,HOO Pang Ron / CHENG Chi Ya (15),16.0,1894
29/8/2025,Quarter final,WD,Nami MA.. / Chiharu .. (3) Rank 3 Elo 2256 (+25),21-17 / 21-14,KIM Hye .. / KONG H.. (5) Rank 5 Elo 2226 (-25),42,https://badmintonranks.com/tournament?id=14522,2,BWF World Championships 2025,Nami MATSUYAMA / Chiharu SHIDA (3),3.0,2256,KIM Hye Rin / KONG Hee Yong (5),5.0,2226
29/8/2025,Quarter final,XD,CHEN Ta.. / TOH Ee .. (4) Rank 4 Elo 2124 (+11),21-15 / 21-13,DHRUV .. / Tanisha .. (16) Rank 17 Elo 1887 (-12),37,https://badmintonranks.com/tournament?id=14522,2,BWF World Championships 2025,CHEN Tang Jie / TOH Ee Wei (4),4.0,2124,DHRUV RAWAT / Tanisha CRASTO (16),17.0,1887
29/8/2025,Quarter final,MS,Victor LAI Rank 51 Elo 2036 (+46),22-20 / 21-18,LOH Kean Yew (9) Rank 9 Elo 2285 (-44),47,https://badmintonranks.com/tournament?id=14522,2,BWF World Championships 2025,Victor LAI,51.0,2036,LOH Kean Yew (9),9.0,2285
28/8/2025,Round 3,MD,Kim AST.. / Anders S.. (5) Rank 5 Elo 2029 (+16),21-15 / 21-13,CHIU Hsi.. / WANG C.. (15) Rank 16 Elo 1873 (-18),32,https://badmintonranks.com/tournament?id=14522,2,BWF World Championships 2025,Kim ASTRUP / Anders Skaarup RASMUSSEN (5),5.0,2029,CHIU Hsiang Chieh / WANG Chang (15),16.0,1873
28/8/2025,Round 3,MD,MAN Wei.. / TEE Kai .. (7) Rank 7 Elo 2137 (+14),21-18 / 21-18,Ben LANE / Sean VE.. (14) Rank 14 Elo 1949 (-15),35,https://badmintonranks.com/tournament?id=14522,2,BWF World Championships 2025,MAN Wei Chong / TEE Kai Wun (7),7.0,2137,Ben LANE / Sean VENDY (14),14.0,1949
28/8/2025,Round 3,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2454 (+1),21-8 / 21-15,CHANG .. / YANG Ch.. (14) Rank 16 Elo 1763 (-2),35,https://badmintonranks.com/tournament?id=14522,2,BWF World Championships 2025,LIU Sheng Shu / TAN Ning (1),1.0,2454,CHANG Tak Ching / YANG Ching Tun (14),16.0,1763
28/8/2025,Round 3,MD,CHEN Bo.. / LIU Yi (11) Rank 11 Elo 1977 (+29),21-17 / 22-20,Rasmus .. / Frederik S.. Rank 21 Elo 1978 (-29),45,https://badmintonranks.com/tournament?id=14522,2,BWF World Championships 2025,CHEN Bo Yang / LIU Yi (11),11.0,1977,Rasmus GEMKE / Frederik SØGAARD,21.0,1978
28/8/2025,Round 3,WS,CHEN Yu Fei (4) Rank 4 Elo 2632 (+2),21-10 / 21-9,NGUYEN Thuy Linh Rank 22 Elo 2052 (-2),32,https://badmintonranks.com/tournament?id=14522,2,BWF World Championships 2025,CHEN Yu Fei (4),4.0,2632,NGUYEN Thuy Linh,22.0,2052
28/8/2025,Round 3,WD,JIA Yi Fan / ZHANG .. (6) Rank 6 Elo 2252 (+5),21-15 / 21-14,HSU Yin-.. / LIN Jhih .. (13) Rank 15 Elo 1822 (-5),35,https://badmintonranks.com/tournament?id=14522,3,BWF World Championships 2025,JIA Yi Fan / ZHANG Shu Xian (6),6.0,2252,HSU Yin-Hui / LIN Jhih Yong (13),15.0,1822
28/8/2025,Round 3,MS,CHOU Tien Chen (6) Rank 6 Elo 2262 (+20),16-21 / 21-15 / 21-13,Kenta NISHIMOTO (14) Rank 14 Elo 2171 (-20),58,https://badmintonranks.com/tournament?id=14522,3,BWF World Championships 2025,CHOU Tien Chen (6),6.0,2262,Kenta NISHIMOTO (14),14.0,2171
28/8/2025,Round 3,MS,Anders ANTONSEN (2) Rank 2 Elo 2346 (+15),21-6 / 20-22 / 21-19,Toma Junior POPOV (15) Rank 15 Elo 2181 (-16),79,https://badmintonranks.com/tournament?id=14522,3,BWF World Championships 2025,Anders ANTONSEN (2),2.0,2346,Toma Junior POPOV (15),15.0,2181
28/8/2025,Round 3,MD,KIM Won .. / SEO Seu.. (1) Rank 1 Elo 2275 (+9),17-21 / 21-9 / 21-4,Leo Rolly.. / Bagas M.. (10) Rank 10 Elo 1997 (-10),45,https://badmintonranks.com/tournament?id=14522,3,BWF World Championships 2025,KIM Won Ho / SEO Seung Jae (1),1.0,2275,Leo Rolly CARNANDO / Bagas MAULANA (10),10.0,1997
28/8/2025,Round 3,WS,Pornpawee CHOCHU.. (6) Rank 6 Elo 2265 (+12),21-10 / 21-11,Busanan ONGBAMRUN.. Rank 18 Elo 2043 (-12),35,https://badmintonranks.com/tournament?id=14522,3,BWF World Championships 2025,Pornpawee CHOCHUWONG (6),6.0,2265,Busanan ONGBAMRUNGPHAN,18.0,2043
28/8/2025,Round 3,MD,Takuro H.. / Yugo KO.. (13) Rank 13 Elo 2092 (+27),13-21 / 21-11 / 21-17,Fajar ALF.. / Muhamm.. (4) Rank 4 Elo 2085 (-27),54,https://badmintonranks.com/tournament?id=14522,3,BWF World Championships 2025,Takuro HOKI / Yugo KOBAYASHI (13),13.0,2092,Fajar ALFIAN / Muhammad Shohibul FIKRI (4),4.0,2085
28/8/2025,Round 3,MD,Satwiksai.. / Chirag S.. (9) Rank 9 Elo 2144 (+25),19-21 / 21-15 / 21-17,LIANG W.. / WANG C.. (6) Rank 6 Elo 2115 (-25),66,https://badmintonranks.com/tournament?id=14522,3,BWF World Championships 2025,Satwiksairaj RANKIREDDY / Chirag SHETTY (9),9.0,2144,LIANG Wei Keng / WANG Chang (6),6.0,2115
28/8/2025,Round 3,WD,Gabriela .. / Stefani ST.. Rank 19 Elo 1999 (+35),21-18 / 20-22 / 22-20,Yuki FUK.. / Mayu MA.. (8) Rank 8 Elo 2090 (-34),74,https://badmintonranks.com/tournament?id=14522,3,BWF World Championships 2025,Gabriela STOEVA / Stefani STOEVA,19.0,1999,Yuki FUKUSHIMA / Mayu MATSUMOTO (8),8.0,2090
28/8/2025,Round 3,MD,LEE Jhe-.. / YANG Po.. (16) Rank 18 Elo 1878 (+48),22-20 / 15-21 / 23-21,GOH Sze.. / Nur IZZU.. (3) Rank 3 Elo 2110 (-43),50,https://badmintonranks.com/tournament?id=14522,3,BWF World Championships 2025,LEE Jhe-Huei / YANG Po Hsuan (16),18.0,1878,GOH Sze Fei / Nur IZZUDDIN (3),3.0,2110
28/8/2025,Round 3,WD,Pearly TA.. / THINAAH.. (2) Rank 2 Elo 2224 (+13),21-12 / 21-11,Lanny Tri.. / Siti Fadia.. (12) Rank 14 Elo 2014 (-13),29,https://badmintonranks.com/tournament?id=14522,3,BWF World Championships 2025,Pearly TAN / THINAAH Muralitharan (2),2.0,2224,Lanny Tria MAYASARI / Siti Fadia Silva RAMADHANTI (12),14.0,2014
28/8/2025,Round 3,WD,Rin IWAN.. / Kie NAK.. (9) Rank 9 Elo 2079 (+24),21-16 / 21-18,LI Yi jing / LUO Xu .. (7) Rank 7 Elo 2042 (-25),48,https://badmintonranks.com/tournament?id=14522,3,BWF World Championships 2025,Rin IWANAGA / Kie NAKANISHI (9),9.0,2079,LI Yi Jing / LUO Xu Min (7),7.0,2042
28/8/2025,Round 3,WD,Febriana .. / Amallia C.. (10) Rank 10 Elo 1962 (+43),21-16 / 21-15,BAEK Ha.. / LEE So H.. (4) Rank 4 Elo 2143 (-40),44,https://badmintonranks.com/tournament?id=14522,3,BWF World Championships 2025,Febriana Dwipuji KUSUMA / Amallia Cahaya PRATIWI (10),10.0,1962,BAEK Ha Na / LEE So Hee (4),4.0,2143
28/8/2025,Round 3,MD,Aaron CH.. / SOH Wo.. (2) Rank 2 Elo 2203 (+12),18-21 / 21-18 / 26-24,Junaidi A.. / YAP Roy .. Rank 22 Elo 1970 (-11),64,https://badmintonranks.com/tournament?id=14522,3,BWF World Championships 2025,Aaron CHIA / SOH Wooi Yik (2),2.0,2203,Junaidi ARIFFIN / YAP Roy King,22.0,1970
28/8/2025,Round 3,MS,Kunlavut VITIDSARN (3) Rank 3 Elo 2405 (+12),21-18 / 18-21 / 22-20,Alwi FARHAN Rank 23 Elo 2193 (-13),76,https://badmintonranks.com/tournament?id=14522,3,BWF World Championships 2025,Kunlavut VITIDSARN (3),3.0,2405,Alwi FARHAN,23.0,2193
28/8/2025,Round 3,MS,WENG Hong Yang (16) Rank 16 Elo 2245 (+33),21-18 / 21-12,Alex LANIER (7) Rank 7 Elo 2315 (-32),49,https://badmintonranks.com/tournament?id=14522,3,BWF World Championships 2025,WENG Hong Yang (16),16.0,2245,Alex LANIER (7),7.0,2315
28/8/2025,Round 3,MS,SHI Yu Qi (1) Rank 1 Elo 2547 (+7),20-22 / 21-13 / 21-18,Christo POPOV (10) Rank 10 Elo 2233 (-7),80,https://badmintonranks.com/tournament?id=14522,3,BWF World Championships 2025,SHI Yu Qi (1),1.0,2547,Christo POPOV (10),10.0,2233
28/8/2025,Round 3,MS,Victor LAI Rank 51 Elo 2006 (+30),21-17 / 21-13,JEON Hyeok Jin Rank 38 Elo 2035 (-30),51,https://badmintonranks.com/tournament?id=14522,3,BWF World Championships 2025,Victor LAI,51.0,2006,JEON Hyeok Jin,38.0,2035
28/8/2025,Round 3,WS,AN Se Young (1) Rank 1 Elo 2766 (+2),21-18 / 21-10,Michelle LI (16) Rank 16 Elo 2115 (-1),35,https://badmintonranks.com/tournament?id=14522,3,BWF World Championships 2025,AN Se Young (1),1.0,2766,Michelle LI (16),16.0,2115
28/8/2025,Round 3,XD,Thom GI.. / Delphine .. (8) Rank 8 Elo 2044 (+21),19-21 / 21-14 / 21-17,YE Hong .. / Nicole Go.. Rank 19 Elo 1958 (-22),60,https://badmintonranks.com/tournament?id=14522,3,BWF World Championships 2025,Thom GICQUEL / Delphine DELRUE (8),8.0,2044,YE Hong / Nicole GORACZKA,19.0,1958
28/8/2025,Round 3,WS,PUSARLA V. Sindhu (15) Rank 15 Elo 2062 (+52),21-19 / 21-15,WANG Zhi Yi (2) Rank 2 Elo 2559 (-51),48,https://badmintonranks.com/tournament?id=14522,3,BWF World Championships 2025,PUSARLA V. Sindhu (15),15.0,2062,WANG Zhi Yi (2),2.0,2559
28/8/2025,Round 3,WS,HAN Yue (3) Rank 3 Elo 2376 (+17),21-14 / 21-19,GAO Fang jie (14) Rank 14 Elo 2243 (-17),44,https://badmintonranks.com/tournament?id=14522,4,BWF World Championships 2025,HAN Yue (3),3.0,2376,GAO Fang jie (14),14.0,2243
28/8/2025,Round 3,MS,Jonatan CHRISTIE (5) Rank 5 Elo 2241 (+18),21-19 / 21-9,LEE Cheuk Yiu (13) Rank 13 Elo 2115 (-18),38,https://badmintonranks.com/tournament?id=14522,4,BWF World Championships 2025,Jonatan CHRISTIE (5),5.0,2241,LEE Cheuk Yiu (13),13.0,2115
28/8/2025,Round 3,XD,DHRUV .. / Tanisha .. (16) Rank 17 Elo 1833 (+54),19-21 / 21-12 / 21-15,TANG Ch.. / TSE Ying.. (5) Rank 5 Elo 2115 (-45),63,https://badmintonranks.com/tournament?id=14522,4,BWF World Championships 2025,DHRUV RAWAT / Tanisha CRASTO (16),17.0,1833,TANG Chun Man / TSE Ying Suet (5),5.0,2115
28/8/2025,Round 3,WD,KIM Hye .. / KONG H.. (5) Rank 5 Elo 2217 (+9),21-17 / 21-6,HSIEH P.. / HUNG E.. (11) Rank 11 Elo 1953 (-10),38,https://badmintonranks.com/tournament?id=14522,4,BWF World Championships 2025,KIM Hye Rin / KONG Hee Yong (5),5.0,2217,HSIEH Pei Lan / HUNG En-Tzu (11),11.0,1953
28/8/2025,Round 3,XD,CHEN Ta.. / TOH Ee .. (4) Rank 4 Elo 2100 (+24),14-21 / 21-19 / 21-17,Jafar HID.. / Felisha Al.. (11) Rank 11 Elo 2057 (-24),68,https://badmintonranks.com/tournament?id=14522,4,BWF World Championships 2025,CHEN Tang Jie / TOH Ee Wei (4),4.0,2100,Jafar HIDAYATULLAH / Felisha Alberta SI (11),11.0,2057
28/8/2025,Round 3,WS,Akane YAMAGUCHI (5) Rank 5 Elo 2412 (+9),21-11 / 21-17,Supanida KATETHONG (11) Rank 11 Elo 2119 (-8),34,https://badmintonranks.com/tournament?id=14522,4,BWF World Championships 2025,Akane YAMAGUCHI (5),5.0,2412,Supanida KATETHONG (11),11.0,2119
28/8/2025,Round 3,WS,SIM Yu Jin (12) Rank 12 Elo 2233 (+25),21-15 / 21-18,Gregoria Mariska TUN.. (7) Rank 7 Elo 2207 (-25),31,https://badmintonranks.com/tournament?id=14522,4,BWF World Championships 2025,SIM Yu Jin (12),12.0,2233,Gregoria Mariska TUNJUNG (7),7.0,2207
28/8/2025,Round 3,XD,HOO Pan.. / CHENG .. (15) Rank 16 Elo 1846 (+48),13-21 / 23-21 / 21-17,GOH Soo.. / LAI Shev.. (6) Rank 6 Elo 2035 (-41),55,https://badmintonranks.com/tournament?id=14522,4,BWF World Championships 2025,HOO Pang Ron / CHENG Chi Ya (15),16.0,1846,GOH Soon Huat / LAI Shevon Jemie (6),6.0,2035
28/8/2025,Round 3,MS,LOH Kean Yew (9) Rank 9 Elo 2265 (+20),5-21 / 21-19 / 21-19,Kodai NARAOKA (8) Rank 8 Elo 2171 (-20),63,https://badmintonranks.com/tournament?id=14522,4,BWF World Championships 2025,LOH Kean Yew (9),9.0,2265,Kodai NARAOKA (8),8.0,2171
28/8/2025,Round 3,WS,Putri Kusuma WARDA.. (9) Rank 9 Elo 2203 (+22),21-12 / 21-11,Tomoka MIYAZAKI (8) Rank 8 Elo 2141 (-22),38,https://badmintonranks.com/tournament?id=14522,4,BWF World Championships 2025,Putri Kusuma WARDANI (9),9.0,2203,Tomoka MIYAZAKI (8),8.0,2141
28/8/2025,Round 3,XD,JIANG Zh.. / WEI Ya X.. (2) Rank 2 Elo 2327 (+6),21-15 / 21-11,Jesper T.. / Amalie M.. (10) Rank 10 Elo 1986 (-7),32,https://badmintonranks.com/tournament?id=14522,4,BWF World Championships 2025,JIANG Zhen Bang / WEI Ya Xin (2),2.0,2327,Jesper TOFT / Amalie MAGELUND (10),10.0,1986
28/8/2025,Round 3,XD,GUO Xin .. / CHEN Fa.. (7) Rank 7 Elo 2106 (+7),21-13 / 21-10,YANG Po.. / HU Ling .. (13) Rank 13 Elo 1778 (-10),28,https://badmintonranks.com/tournament?id=14522,4,BWF World Championships 2025,GUO Xin Wa / CHEN Fang Hui (7),7.0,2106,YANG Po Hsuan / HU Ling Fang (13),13.0,1778
28/8/2025,Round 3,XD,Hiroki MI.. / Natsu SA.. (9) Rank 9 Elo 2045 (+41),8-21 / 21-19 / 21-16,Dechapol.. / Supissar.. (3) Rank 3 Elo 2227 (-40),49,https://badmintonranks.com/tournament?id=14522,4,BWF World Championships 2025,Hiroki MIDORIKAWA / Natsu SAITO (9),9.0,2045,Dechapol PUAVARANUKROH / Supissara PACHARAMONGKOL (3),3.0,2227
28/8/2025,Round 3,WD,Nami MA.. / Chiharu .. (3) Rank 3 Elo 2251 (+5),21-13 / 21-16,YEUNG .. / YEUNG .. (15) Rank 17 Elo 1845 (-6),41,https://badmintonranks.com/tournament?id=14522,4,BWF World Championships 2025,Nami MATSUYAMA / Chiharu SHIDA (3),3.0,2251,YEUNG Wing Lee / YEUNG Wing Lee (15),17.0,1845
28/8/2025,Round 3,XD,CHENG .. / ZHANG .. (12) Rank 12 Elo 1974 (+29),23-21 / 21-12,Mathias .. / Alexandra .. Rank 194 Elo 1981 (-29),51,https://badmintonranks.com/tournament?id=14522,4,BWF World Championships 2025,CHENG Chi Ya / ZHANG Shu Xian (12),12.0,1974,Mathias THYRRI / Alexandra BOE,194.0,1981
27/8/2025,Round 2,MS,Kunlavut VITIDSARN (3) Rank 3 Elo 2403 (+2),21-19 / 21-6,KIM Byung Jae Rank 102 Elo 1752 (-1),48,https://badmintonranks.com/tournament?id=14522,4,BWF World Championships 2025,Kunlavut VITIDSARN (3),3.0,2403,KIM Byung Jae,102.0,1752
