date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number
2021-12-19,Final,MS,LOH Kean Yew Rank 22 Elo 2373 (+18),21-15 / 22-20,KIDAMBI Srikanth (12) Rank 14 Elo 2239 (-18),43,https://badmintonranks.com/tournament?id=14012,1
2021-12-19,Final,MD,Takuro H.. / Yugo KO.. (5) Rank 4 Elo 2334 (+8),21-12 / 21-18,HE Ji Ting / TAN Qian.. (16) Rank 24 Elo 2018 (-8),38,https://badmintonranks.com/tournament?id=14012,1
2021-12-19,Final,WD,CHEN Qi.. / JIA Yi Fan (1) Rank 3 Elo 2318 (+22),21-16 / 21-17,LEE So H.. / SHIN Se.. (2) Rank 4 Elo 2236 (-22),64,https://badmintonranks.com/tournament?id=14012,1
2021-12-19,Final,WS,Akane YAMAGUCHI (2) Rank 3 Elo 2503 (+32),21-14 / 21-11,TAI Tzu Ying (1) Rank 1 Elo 2555 (-33),39,https://badmintonranks.com/tournament?id=14012,1
2021-12-19,Final,XD,Dechapol.. / Sapsiree .. (2) Rank 1 Elo 2417 (+24),21-13 / 21-14,Yuta WAT.. / Arisa IGA.. (3) Rank 4 Elo 2362 (-24),46,https://badmintonranks.com/tournament?id=14012,1
2021-12-18,Semi final,MS,LOH Kean Yew Rank 22 Elo 2340 (+33),23-21 / 21-14,Anders ANTONSEN (3) Rank 3 Elo 2401 (-32),61,https://badmintonranks.com/tournament?id=14012,1
2021-12-18,Semi final,MD,HE Ji Ting / TAN Qian.. (16) Rank 24 Elo 1979 (+39),21-16 / 13-21 / 21-15,Kim AST.. / Anders S.. (7) Rank 10 Elo 2092 (-38),58,https://badmintonranks.com/tournament?id=14012,1
2021-12-18,Semi final,MS,KIDAMBI Srikanth (12) Rank 14 Elo 2212 (+27),17-21 / 21-14 / 21-17,Lakshya SEN Rank 19 Elo 2195 (-27),69,https://badmintonranks.com/tournament?id=14012,1
2021-12-18,Semi final,MD,Takuro H.. / Yugo KO.. (5) Rank 4 Elo 2320 (+14),21-13 / 21-9,ONG Yew.. / TEO Ee .. (9) Rank 12 Elo 2135 (-14),32,https://badmintonranks.com/tournament?id=14012,1
2021-12-18,Semi final,WD,LEE So H.. / SHIN Se.. (2) Rank 4 Elo 2208 (+28),21-18 / 21-17,KIM So Y.. / KONG H.. (3) Rank 2 Elo 2203 (-28),69,https://badmintonranks.com/tournament?id=14012,1
2021-12-18,Semi final,XD,Yuta WAT.. / Arisa IGA.. (3) Rank 4 Elo 2359 (+3),21-13 / 21-8,Kyohei Y.. / Naru SHI.. Rank 53 Elo 1864 (-4),37,https://badmintonranks.com/tournament?id=14012,1
2021-12-18,Semi final,WD,CHEN Qi.. / JIA Yi Fan (1) Rank 3 Elo 2294 (+24),21-15 / 21-12,Mayu MA.. / Wakana .. (4) Rank 5 Elo 2245 (-25),48,https://badmintonranks.com/tournament?id=14012,1
2021-12-18,Semi final,XD,Dechapol.. / Sapsiree .. (2) Rank 1 Elo 2406 (+11),15-21 / 21-7 / 21-10,TANG Ch.. / TSE Ying.. (5) Rank 7 Elo 2151 (-10),61,https://badmintonranks.com/tournament?id=14012,1
2021-12-18,Semi final,WS,Akane YAMAGUCHI (2) Rank 3 Elo 2501 (+2),21-19 / 21-19,ZHANG Yi Man Rank 46 Elo 1928 (-2),44,https://badmintonranks.com/tournament?id=14012,1
2021-12-18,Semi final,WS,TAI Tzu Ying (1) Rank 1 Elo 2542 (+13),21-17 / 13-21 / 21-14,HE Bing Jiao (8) Rank 9 Elo 2331 (-13),57,https://badmintonranks.com/tournament?id=14012,1
2021-12-17,Quarter final,MD,Kim AST.. / Anders S.. (7) Rank 10 Elo 2071 (+21),26-28 / 21-13 / 21-9,Mark LA.. / Marvin S.. (12) Rank 16 Elo 1983 (-22),72,https://badmintonranks.com/tournament?id=14012,1
2021-12-17,Quarter final,MD,HE Ji Ting / TAN Qian.. (16) Rank 24 Elo 1949 (+30),22-20 / 21-14,GOH V S.. / TAN Wee.. (10) Rank 14 Elo 1957 (-30),40,https://badmintonranks.com/tournament?id=14012,1
2021-12-17,Quarter final,WD,LEE So H.. / SHIN Se.. (2) Rank 4 Elo 2199 (+9),19-21 / 21-18 / 21-18,Jongkolp.. / Rawinda .. (6) Rank 9 Elo 1923 (-10),83,https://badmintonranks.com/tournament?id=14012,1
2021-12-17,Quarter final,WD,KIM So Y.. / KONG H.. (3) Rank 2 Elo 2196 (+7),21-8 / 21-18,Rin IWAN.. / Kie NAKA.. Rank 34 Elo 1874 (-9),52,https://badmintonranks.com/tournament?id=14012,1
2021-12-17,Quarter final,MS,LOH Kean Yew Rank 22 Elo 2328 (+12),21-14 / 21-12,PRANNOY H. S. Rank 32 Elo 2104 (-12),43,https://badmintonranks.com/tournament?id=14012,1
2021-12-17,Quarter final,XD,Kyohei Y.. / Naru SHI.. Rank 53 Elo 1810 (+54),21-13 / 17-21 / 21-19,Rodion A.. / Alina DA.. (16) Rank 22 Elo 2025 (-45),67,https://badmintonranks.com/tournament?id=14012,2
